timestamp,x,y,z,yaw,vx,vy,vz,acc_x,acc_y,acc_z
1457892147,-8.9153,-12.0164,0.833991,0.981236,0.00189972,-0.139116,1.0,-0.0779976,-0.0734419,-2.72939
1457902322,-8.9153,-12.0164,0.836139,0.981236,0.00115013,-0.139009,1.0,-0.0829323,-0.0733906,-2.72676
1457912511,-8.9153,-12.0164,0.838349,0.981236,0.000427246,-0.138895,1.0,-0.0833757,-0.0718228,-2.73359
1457922668,-8.9153,-12.0164,0.840514,0.981236,-0.000299454,-0.138796,1.0,-0.0820221,-0.072998,-2.73589
1457932833,-8.9153,-12.0164,0.839505,0.981236,0.000511169,-0.137119,1.0,-0.0751152,-0.0702995,-2.72128
1457942997,-8.9153,-12.0164,0.841577,0.981236,-0.000114441,-0.137014,1.0,-0.070296,-0.0705579,-2.71118
1457953173,-8.9153,-12.0164,0.843704,0.981236,-0.000707626,-0.136904,1.0,-0.0676099,-0.071996,-2.71095
1457963601,-8.9153,-12.0164,0.845829,0.981236,-0.00130463,-0.136814,1.0,-0.066712,-0.0736888,-2.71022
1457973802,-8.9153,-12.0164,0.847998,0.981236,-0.00189972,-0.136734,1.0,-0.066917,-0.0752655,-2.71863
1457983964,-8.9153,-12.0164,0.850246,0.981236,-0.00255013,-0.136606,1.0,-0.0740248,-0.0703585,-2.73949
1457994117,-8.9153,-12.0164,0.852491,0.981236,-0.00325012,-0.136473,1.0,-0.0795508,-0.068785,-2.74714
1458004343,-8.9153,-12.0164,0.854818,0.981236,-0.0039444,-0.136335,1.0,-0.0818376,-0.0693536,-2.75209
1458014560,-8.9153,-12.0164,0.857115,0.981236,-0.00466347,-0.136225,1.0,-0.082203,-0.0710464,-2.75544
1458024715,-8.9153,-12.0164,0.859579,0.981236,-0.00473213,-0.135174,1.0,-0.0802648,-0.0691942,-2.75176
1458034878,-8.9153,-12.0164,0.861863,0.981236,-0.00538445,-0.135069,1.0,-0.0774938,-0.0693882,-2.75217
1458045039,-8.9153,-12.0164,0.864183,0.981236,-0.00605202,-0.134949,1.0,-0.0780081,-0.0713472,-2.75332
1458055249,-8.9153,-12.0164,0.866528,0.981236,-0.00674248,-0.134838,1.0,-0.0813065,-0.0707604,-2.75939
1458065498,-8.9153,-12.0164,0.86888,0.981236,-0.0073967,-0.134739,1.0,-0.0782107,-0.0725563,-2.7591
1458075646,-8.9153,-12.0164,0.871275,0.981236,-0.00801659,-0.13468,1.0,-0.0751414,-0.0768774,-2.76669
1458085805,-8.9153,-12.0164,0.873656,0.981236,-0.00858307,-0.134684,1.0,-0.0690142,-0.0831691,-2.77394
1458095964,-8.9153,-12.0164,0.87608,0.981236,-0.0091095,-0.134697,1.0,-0.0634185,-0.0873905,-2.77207
1458106117,-8.9153,-12.0164,0.876853,0.981236,-0.010004,-0.135809,1.0,-0.0604241,-0.0914665,-2.76902
1458116394,-8.9153,-12.0164,0.879205,0.981236,-0.0104828,-0.135868,1.0,-0.0586406,-0.0929883,-2.75281
1458126553,-8.9153,-12.0164,0.881588,0.981236,-0.0110035,-0.135908,1.0,-0.0627493,-0.0905979,-2.7617
1458136709,-8.9153,-12.0164,0.883984,0.981236,-0.0115299,-0.135948,1.0,-0.0643423,-0.0905504,-2.76933
1458146871,-8.9153,-12.0164,0.886417,0.981236,-0.0120678,-0.135988,1.0,-0.0663837,-0.0905694,-2.77327
1458157022,-8.9153,-12.0164,0.888867,0.981236,-0.0125732,-0.136066,1.0,-0.0628813,-0.0945291,-2.78295
1458167237,-8.9153,-12.0164,0.891311,0.981236,-0.0130329,-0.136185,1.0,-0.0574349,-0.10058,-2.77201
1458177513,-8.9153,-12.0164,0.89502,0.981236,-0.013607,-0.136457,1.0,-0.0509068,-0.105091,-2.77244
1458187675,-8.9153,-12.0164,0.897428,0.981236,-0.0140057,-0.136648,1.0,-0.0505195,-0.108142,-2.77479
1458197833,-8.9153,-12.0164,0.898665,0.981236,-0.014225,-0.136732,1.0,-0.0543565,-0.107688,-2.77784
1458207991,-8.9153,-12.0164,0.900954,0.981236,-0.0141697,-0.136938,1.0,-0.058467,-0.10154,-2.75715
1458218149,-8.9153,-12.0164,0.903252,0.981236,-0.0146923,-0.13703,1.0,-0.0647185,-0.0980255,-2.73841
1458228454,-8.9153,-12.0164,0.905576,0.981236,-0.0151825,-0.137148,1.0,-0.0627472,-0.100632,-2.73648
1458238623,-8.9153,-12.0164,0.907863,0.981236,-0.0156269,-0.13731,1.0,-0.0567854,-0.10592,-2.73735
1458248779,-8.9153,-12.0164,0.910208,0.981236,-0.0159645,-0.137541,1.0,-0.0470523,-0.113882,-2.7392
1458258951,-8.9153,-12.0164,0.912486,0.981236,-0.0162601,-0.137842,1.0,-0.0398961,-0.122131,-2.73815
1458269105,-8.9153,-12.0164,0.91481,0.981236,-0.0165539,-0.138159,1.0,-0.0408209,-0.124906,-2.73377
1458279281,-8.9153,-12.0164,0.917114,0.981236,-0.0169983,-0.138391,1.0,-0.0541168,-0.117457,-2.73734
1458289454,-8.9153,-12.0164,0.919426,0.981236,-0.01754,-0.138575,1.0,-0.0665392,-0.112407,-2.73623
1458299617,-8.9153,-12.0164,0.921766,0.981236,-0.0180969,-0.13875,1.0,-0.0723925,-0.109022,-2.73932
